"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
-94,8678,6695,3157,268295,2016-08-06,0.032344993384148,0.0249538753983488,0.0117668983767867,0.0690657671592836
-82,10061,7362,2548,389100,2016-08-18,0.0258571061423799,0.0189205859676176,0.00654844512978669,0.0513261372397841
-63,11046,7906,2236,421141,2016-09-06,0.0262287452420923,0.0187728100564894,0.00530938569267775,0.0503109409912595
-48,8593,7771,2143,379729,2016-09-21,0.0226292961559428,0.0204645944871211,0.00564349838964103,0.0487373890327049
-42,11070,7925,3692,723370,2016-09-27,0.0153033717184843,0.0109556658418237,0.00510388874296695,0.031362926303275
-39,10562,8755,5278,489341,2016-09-30,0.0215841304938683,0.0178914090583049,0.0107859345527965,0.0502614741049697
-29,16899,14406,4196,706456,2016-10-10,0.023920810354785,0.0203919281597155,0.00593950649438889,0.0502522450088894
-11,18501,11732,4907,606303,2016-10-28,0.0305144457474233,0.0193500609431258,0.00809331307943388,0.057957819769983
16,6390,4250,1315,305468,2016-11-24,0.02091872143727,0.0139130776382469,0.00430486990453992,0.0391366689800568
27,8588,6743,1778,459760,2016-12-05,0.0186793109448408,0.0146663476596485,0.00386723507917174,0.037212893683661
-98,12110,8909,3183,533794,2016-08-02,0.02268665440226,0.0166899590478724,0.00596297448079222,0.0453395879309247
-97,11188,9294,4047,502340,2016-08-03,0.0222717681251742,0.0185014133853565,0.00805629653222917,0.0488294780427599
-93,8957,7564,3135,287339,2016-08-07,0.0311722390625707,0.0263243068292157,0.0109104576823891,0.0684070035741755
-92,11446,9039,3613,414843,2016-08-08,0.0275911609934361,0.0217889659461531,0.00870931894716796,0.0580894458867572
-89,10242,8982,4360,447650,2016-08-11,0.0228794817379649,0.020064782754384,0.00973975203842288,0.0526840165307718
-83,10674,8532,2927,401515,2016-08-17,0.0265843119186083,0.0212495174526481,0.00728988954335454,0.0551237189146109
-70,10036,7250,1741,413473,2016-08-30,0.024272443424359,0.0175343976511163,0.00421067397387496,0.0460175150493503
-67,9118,8481,2445,377708,2016-09-02,0.0241403412159658,0.0224538532411281,0.0064732544717083,0.0530674489288021
-64,9610,7773,2568,306339,2016-09-05,0.0313704751925155,0.0253738505381293,0.00838286995779186,0.0651271956884367
-62,11834,8980,2304,444936,2016-09-07,0.0265970836255102,0.0201826779581783,0.00517827283024974,0.0519580344139382
-57,8752,8475,1974,442195,2016-09-12,0.019792173136286,0.0191657526656792,0.00446409389522722,0.0434220196971924
